INFO:root:World initiialized
INFO:root:Populating world with 100 particles
INFO:root:World populated
INFO:root:Running simulation for 1000 ticks
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2132, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2143, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2154, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2165, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2176, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2187, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2198, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 63, j: 44, c: 93
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2209, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 74, j: 44, c: 92
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2220, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 70, 2nd mass 201, j: 71, c: 13
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 85, j: 43, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 96, j: 43, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2231, j: 77, c: 80
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 107, j: 43, c: 88
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 118, j: 43, c: 88
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2242, j: 77, c: 80
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 129, j: 43, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 140, j: 43, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 9, 2nd mass 2253, j: 77, c: 36
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 151, j: 42, c: 86
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 162, j: 42, c: 86
DEBUG:root:Merging to 2nd particle. 1st mass 1, 2nd mass 10, j: 36, c: 73
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2262, j: 75, c: 78
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 173, j: 42, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 184, j: 42, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 195, j: 42, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 206, j: 42, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 84, j: 55, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2273, j: 75, c: 78
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 217, j: 42, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 95, j: 55, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 106, j: 55, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 228, j: 42, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 117, j: 55, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2284, j: 75, c: 78
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 239, j: 42, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 250, j: 42, c: 85
DEBUG:root:Merging to 2nd particle. 1st mass 128, 2nd mass 261, j: 42, c: 55
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2295, j: 74, c: 77
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 15, j: 48, c: 86
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2306, j: 74, c: 77
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 389, j: 42, c: 78
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 26, j: 48, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 37, j: 48, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 48, j: 48, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 59, j: 48, c: 82
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 70, j: 48, c: 82
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 81, j: 48, c: 82
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 92, j: 48, c: 82
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 103, j: 48, c: 82
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2317, j: 74, c: 77
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 114, j: 48, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 125, j: 48, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 136, j: 48, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 147, j: 48, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 31, 2nd mass 97, j: 13, c: 63
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 158, j: 48, c: 80
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 169, j: 48, c: 80
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 180, j: 48, c: 80
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 191, j: 48, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 202, j: 48, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 213, j: 48, c: 79
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 31, j: 9, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 400, 2nd mass 2328, j: 73, c: 42
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 224, j: 47, c: 77
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 42, j: 9, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 53, j: 9, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 64, j: 9, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 75, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 86, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 97, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 108, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 119, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 130, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 141, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 152, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 163, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 174, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 185, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 196, j: 9, c: 83
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 207, j: 9, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 218, j: 9, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 235, j: 47, c: 75
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 246, j: 47, c: 75
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 85, j: 29, c: 36
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 229, j: 9, c: 76
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 240, j: 9, c: 78
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 251, j: 9, c: 75
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 262, j: 9, c: 75
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 273, j: 9, c: 75
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 284, j: 9, c: 74
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 43, j: 67, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 54, j: 67, c: 88
